"family_original","apno","vo_list","vu_list","ans_list"
"180207378","CN202111309521.1","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"165418219","CN201811140481.0","[128400]","[94700]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"178169346","CN202110869651.4","[4500]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"176681328","CN202110467667.2","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"170313079","CN201911233826.1","[4500]","[2600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"177081091","CN202110764749.3","[4600]","[2700]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"179195314","CN202111413798.9","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"180145707","CN202111425653.0","[4500]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"181274124","CN202210035314.X","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"180145820","CN202111426724.9","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"174578510","CN202011236131.1","[4500]","[2600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"177229659","CN202110467699.2","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"178895348","CN202111076618.2","[4500]","[2600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"173601185","CN202010809887.4","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"173797345","CN202011022935.1","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"180791433","CN202111446083.3","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"179194829","CN202111389393.6","[4500]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"173245831","CN202010776705.8","[4500]","[2600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"180753447","CN202111478985.5","[4500]","[2600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"164324885","CN201811140142.2","[256300]","[187800]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"163217077","CN201810145564.2","[126000]","[92600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"178424727","CN202111014109.7","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"180300234","CN202111339175.1","[4500]","[2600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"178387909","CN202110988730.7","[4500]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"163781943","CN201810420988.5","[85700]","[69600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"179248224","CN202111406160.2","[4500]","[2600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"180299842","CN202111332010.1","[4500]","[2600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"170035052","CN201911314620.1","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"180753173","CN202111473479.7","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"168663389","CN201910753636.6","[72000]","[62200]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"173798718","CN202011036803.4","[4500]","[2600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
